gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ccn4,105.813132604303,5.6490519345821,0.525314643891843,8.85003300143922,8.74934201291395e-19,1.70060960705008e-14
Cplx1,12.2226919709522,3.89208643624458,0.669076278101902,4.32250631340438,1.54266667490289e-05,0.014278481980994
Rftn1,27.8921073540699,3.42952269789891,0.577449706037671,4.20733212346706,2.5840323210775e-05,0.0218373200977319
Ppef1,565.744331410723,3.04145583708363,0.286962364611514,7.11401942846172,1.12711274662364e-12,4.38153809122475e-09
Sv2c,67.8197976200948,2.92887231031787,0.322085434675037,5.98869772631594,2.1152787203641702e-09,5.87352464110262e-06
Gm45589,83.5832412670242,2.92547101956776,0.345344557619576,5.57550706123714,2.46809895139028e-08,4.36113084710663e-05
Gm5276,14.8438639292323,2.90386463978205,0.475938037746229,4.00023635176896,6.32792515403886e-05,0.0439271004353762
Trpm8,21.7540404688748,2.83708893770216,0.443069174944618,4.14628017833061,3.37920292213916e-05,0.0273673196656746
Dleu7,113.104214528491,2.79847782410115,0.304257556450665,5.91103749429069,3.39959631708993e-09,8.25974420190961e-06
Ahrr,114.918530911406,2.7960155883562,0.316399557017674,5.67641625445096,1.37545844484262e-08,2.6734785792406e-05
Wincr1,28.1928301980704,2.77110174208636,0.396735064908352,4.46419260292885,8.03712438589408e-06,0.0081729463034571
Angptl4,69.1317612387626,2.68340016787889,0.222819687578217,7.55498845804623,4.18896999452941e-14,2.0355252445917e-10
Tnfaip3,1208.01614598348,2.62134048160915,0.285497568407392,5.67899926662621,1.3548506046429e-08,2.6734785792406e-05
Traf1,96.2503883254062,2.60117972085381,0.390939073466994,4.09572700588343,4.20845618448183e-05,0.0327199051431093
Pik3ap1,439.999367565252,2.52353493575673,0.183787637711017,8.28964861147137,1.13583519941712e-16,1.10386143855352e-12
Edn1,52.8657714967333,2.5176263944652,0.379115291427836,4.0030735472301,6.25248542617816e-05,0.0439271004353762
G930009F23Rik,77.7726248442549,2.50725437424201,0.186469746490721,8.0831041099582,6.31386776393649e-16,4.0907549242544495e-12
Cmklr1,53.8753344191762,2.43849325438433,0.363503289411626,3.95730464148676,7.58002347724415e-05,0.0491109721090649
Snx20,228.957076525892,2.40971346374854,0.265005187107804,5.31956932290187,1.04013176299038e-07,0.0001684753423103
Stmn4,182.250285966947,2.31314960669302,0.331202853919161,3.96478952748858,7.34607353099019e-05,0.0491109721090649
Magea13,2869.49543353806,2.24468547778482,0.309100192808952,4.02680265733168,5.65404475483391e-05,0.0422683338075795
Otop1,61.0525504154838,2.18995517823412,0.250197820819713,4.7560573243025,1.97410434768794e-06,0.0022570980121182
Dlx2,58.7208596564243,2.12952973645595,0.221470646822963,5.10013291900874,3.39415040819693e-07,0.000507477703724
Cyp1a1,137.527591430505,2.06915081951271,0.170976119174608,6.25321726024706,4.02082166636955e-10,1.30254517882042e-06
Apobr,191.436870197803,1.90571508009238,0.203326783481,4.45447994890953,8.40967876056709e-06,0.0081729463034571
Maff,2643.09132899474,1.68940021651188,0.148443526239671,4.64419186188561,3.41410181155886e-06,0.0036866609395149
P2ry10b,463.309193308997,1.64690158181016,0.131956414501617,4.9023882942972,9.46784554316842e-07,0.0012268434254837
Sox11,97.8704865668058,-2.50746159802455,0.357705171675278,-4.21425720786897,2.50601569761678e-05,0.0218373200977319
Tnn,15.4825640407491,-4.61642611531805,0.745935671055907,-4.84817425368441,1.24602928644456e-06,0.0015136919525389
B3galt2,200.589190994305,-4.98738581943445,0.787769212850063,-5.06161672021749,4.15716109610957e-07,0.0005771624301791
