gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ucp1,4.82678122541263,6.84309911260534,1.45924815962185,4.00418467145405,6.22317380161828e-05,0.0050772928803859
Gm38416,18.9776314581852,6.7857887502464,1.39396195894816,4.15060734843307,3.31594200586061e-05,0.0028835049599111
Fgfbp1,9.68996372104847,6.58117447529898,1.23450387068861,4.52098580475553,6.15523161178097e-06,0.0006535989908972
Serpinb1c,12.9336748435575,6.33672645217601,1.22692275444937,4.34968414500641,1.36333758425637e-05,0.0013399389066475
Morc2b,6.93373380590987,6.1661873210041,1.35998974431088,3.79869579356413,0.0001454594959098,0.0109149020984776
Fbxw18,3.54938272806873,6.11553815685935,1.35387678911555,3.77843700252899,0.0001578157632349,0.0116195292436152
Ubd,5.35098022792969,5.94722495940315,1.29693432419326,3.8145531867857,0.000136429552499,0.0103701182512874
Osbpl3,8.60397597318335,5.81453724169853,1.28862823475651,3.736172397781,0.0001868425945449,0.0134291526031597
Usp13,5.4261850135535,5.79411050551097,1.26235057605204,3.79776473862308,0.0001460068008489,0.0109149020984776
Mgat5b,14.1079296804155,5.73835433000451,1.2540075291849,3.77856928266167,0.0001577319707916,0.0116195292436152
Hfm1,5.22829948191686,5.493970645288,1.3334916427732,3.37007784761374,0.0007514695080035,0.0442320394808431
Upb1,14.5992549116135,5.45292922688842,1.13016241400804,3.94007902908082,8.14547709736579e-05,0.0064224655427028
Lrcol1,6.97691892113318,5.40610595471384,1.28345442552789,3.4330053853697,0.0005969302412367,0.0361425012251401
Fyb2,10.0568163936387,5.2236650838478,1.26768924917664,3.33178267985712,0.0008629161278698,0.0494153948455748
Chrm1,37.5283725878812,5.09448550503157,0.643080955858392,6.3669829867162,1.92782549264003e-10,5.2226769852534e-08
Ccr2,18.6630850669445,4.99333661084336,1.05961521197699,3.76866674402753,0.0001641218330956,0.0120002022669354
Bpi,9.32614026268343,4.74745947639602,1.07709573871157,3.47922597937187,0.0005028643490616,0.0314379484024332
Ccn4,105.813132604303,4.69554478815577,0.473875328838826,7.79855916367552,6.261799458997531e-15,2.87648009495819e-12
Angptl4,69.1317612387626,4.67205538006565,0.299732467051324,12.2511098520298,1.6571243562232899e-34,5.836115795225711e-31
Madcam1,22.7839252163918,4.64752444472435,0.91957042098728,3.96655260051563,7.29196884223842e-05,0.0058145884379373
Gm47842,10.3792759754527,4.53648655315132,0.718304353413712,4.92338176198476,8.50612799627784e-07,0.0001123393691808
X1700023F02Rik,17.1253203988742,4.53298965912945,0.685528718927603,5.15367126362879,2.55435570021459e-07,3.69699248638592e-05
Ifna4,10.9485825226378,4.36256062315782,1.01009962030788,3.32893959719826,0.0008717730877342,0.0497876678835475
Cysltr2,22.2742298807326,4.25013379119868,0.925870213716493,3.51035570974085,0.0004475076082201,0.0282277112516417
Trac,10.4748839313792,4.22642693336272,0.798863000881228,4.03877376947442,5.37313561004721e-05,0.0044178882714361
Edn1,52.8657714967333,4.22575300789642,0.433369260155388,7.443428282707,9.81053730246355e-14,3.7019011381849496e-11
G930009F23Rik,77.7726248442549,4.19904769364302,0.266961845349846,11.9831644460307,4.3538140101148e-33,1.1500055480967e-29
Trim17,19.3160765007821,4.16841184250969,0.61932755597586,5.11589031028547,3.12264499235164e-07,4.458419684688e-05
H2.Aa,120.106136251288,4.16550650138684,0.293925183639695,10.7697695794153,4.78196455296229e-27,1.0104769296864601e-23
Fgfr2,29.113514248038,4.13815877710971,0.699812416934111,4.4842856473711,7.31586058834699e-06,0.000765304208378
