gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cplx1,12.2226919709522,5.4942055072382,0.87835059979194,5.11664192897775,3.1102326758524e-07,0.0002460194046599
Trp63,6.64179922538427,4.76990164125494,0.843893916084472,4.46726960510234,7.92242607081795e-06,0.0039739662090839
Trim17,19.3160765007821,4.72388038673799,0.655983480321543,5.67678988640484,1.37245879873763e-08,1.66035221499048e-05
Ccn4,105.813132604303,4.72182717776388,0.46730587943748,7.96443473436292,1.6598075637339801e-15,5.68926705929218e-12
Angptl4,69.1317612387626,4.44881650761763,0.27671500641707,12.4634242004914,1.18184887062163e-35,2.4305903873204503e-31
Spi1,15.4424772851156,4.11692941256599,0.565508446664902,5.51172918980812,3.5532534589609e-08,3.65381053184949e-05
Gm47842,10.3792759754527,3.88077689161774,0.601493978470204,4.78936946126127,1.67306192920119e-06,0.0010426724738167
Cfap53,12.1700771700671,3.80541820807269,0.704586636117583,3.98165117568952,6.84381700563181e-05,0.0228053665188199
Tnfaip3,1208.01614598348,3.68631470222958,0.287032572815389,9.35891935845671,8.0556358316102e-21,5.522406883763181e-17
Gm10827,584.490594815518,3.66570085178454,0.445930228425394,5.97784290425273,2.26111620789569e-09,3.10014106210552e-06
Chrm1,37.5283725878812,3.62276450254884,0.419592724709416,6.25073874759197,4.08515728933396e-10,6.46271883172633e-07
Slco1a5,86.4809296599416,3.22300595033061,0.243100797686747,9.14437949806779,5.997316040705851e-20,3.08352004232891e-16
Gm5276,14.8438639292323,3.15663373738509,0.482335622521476,4.47123048078221,7.7770827363537e-06,0.0039739662090839
Gm49165,15.0649551724019,3.100724043649,0.53100446028249,3.95613257661043,7.61728983267604e-05,0.0237359367725478
Edn1,52.8657714967333,3.03274656506162,0.386115825566569,5.26460308141697,1.40492554528604e-07,0.0001256247772363
Mettl7b,22.8695517599476,3.02792478167807,0.419915119422955,4.82936833630767,1.36966843321359e-06,0.0009086645483055
Gm37829,12.4487353418484,3.004635768237,0.491246540254676,4.08071223707294,4.48979119804114e-05,0.0165453763734546
