gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sncg,650.877864922041,-1.78632377827232,0.159355809233047,-4.93439041887941,8.04014701182866e-07,0.0022895122630883
Pdzrn4,142.554549627257,-1.9130646114666,0.213588895367883,-4.27486929923931,1.91249454736828e-05,0.0259334260623138
Crabp2,1733.99027637474,-1.9913302255064,0.229296915869888,-4.32334740197255,1.53679448275443e-05,0.0230325051004817
Pik3ap1,439.999367565252,-2.02149215688555,0.185400877071727,-5.50964036966425,3.59567561363198e-08,0.0001706507646229
Capn6,1711.11508816686,-2.17573205950375,0.163257092815363,-7.20172115788838,5.94571901909632e-13,5.64367649292623e-09
Pcbd1,144.700842950172,-2.23061652688357,0.287252585893422,-4.28409207546756,1.83486919346049e-05,0.0259334260623138
Oaf,1508.35780562543,-2.27040657199892,0.15101624608607,-8.41238346816587,4.01761902821948e-17,1.14405719447578e-12
Tmem119,900.817944727389,-2.2809354149414,0.292003187802016,-4.38671722929921,1.15074233633141e-05,0.0192756110408078
Scn1b,254.411739800491,-2.30313965076949,0.301003089078099,-4.32932317990722,1.49568305063592e-05,0.0230325051004817
Pdlim4,905.973481633853,-2.31149530408208,0.296909738351868,-4.41715152679777,1.00010122540892e-05,0.0177993015592153
Ppef1,565.744331410723,-2.33018833528296,0.287927658517176,-4.6198699427954,3.83980661592833e-06,0.0072894888796783
Snx20,228.957076525892,-2.40336597761978,0.265109970853718,-5.29352394065229,1.19981526242931e-07,0.0004270742426617
Dkk3,1195.38219716915,-2.46619218396949,0.353723876626987,-4.14501898472528,3.39785557791953e-05,0.0420684067116681
Mt3,199.161039480342,-2.51239609522365,0.367910515083251,-4.11077159586326,3.94339133714019e-05,0.0449168046865616
Serpinb1a,568.851959185888,-2.8573899395305,0.43816004190973,-4.23906737692242,2.24450291983573e-05,0.0290520296114737
Dleu7,113.104214528491,-2.96344514569139,0.303240826616338,-6.4748707078798,9.48931607037473e-11,5.40435528839982e-07
Syk,304.10708986084,-2.99569366477919,0.401274009759142,-4.97339378141403,6.57908288987755e-07,0.0020816218263572
Aspa,121.958413129908,-3.13711434804812,0.446246284411457,-4.78909163550057,1.67537967142224e-06,0.0039756759602849
Prelp,168.073992636109,-3.23734122662493,0.466877338754241,-4.79213926423325,1.65012292438862e-06,0.0039756759602849
G0s2,660.744142773725,-3.27721330629739,0.483768786115741,-4.70723488503983,2.5109952445465e-06,0.0055002385064389
Iapp,59.4021517627824,-3.40743982925838,0.589149916102392,-4.08629410521714,4.38318102909826e-05,0.04800594730177
Gpr37l1,470.130305817614,-3.4767929095381,0.466529709852503,-5.30897144861611,1.10245599793757e-07,0.0004270742426617
Tex101,61.0567620641843,-3.59049433338799,0.332312817908309,-7.79534882131076,6.4230795461677306e-15,9.14518065783361e-11
Cd36,200.856865682858,-3.59978189961368,0.39651755149148,-6.55653675312665,5.50717513527592e-11,3.92055797880293e-07
A830019P07Rik,167.747575656492,-3.76436418399525,0.597444071923787,-4.62698403734081,3.71029098572303e-06,0.0072894888796783
X2810433D01Rik,33.7508348397436,-4.26815391913497,0.80252065608591,-4.07236112161219,4.65389496699792e-05,0.0490830789186047
Ppm1n,60.8064316643684,-4.39670830879646,0.82479068325357,-4.11826706795158,3.81732152079792e-05,0.0449168046865616
