gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm12786,4.59755551291797,6.07018483765414,1.33412760528868,3.80037472993975,0.0001444774410581,0.0076632014144913
Trp63,6.64179922538427,4.70236451865039,0.77819690691427,4.75761916522018,1.95889619627819e-06,0.0002314168733694
A530046M15Rik,6.06376631949353,4.31274978795422,0.937464535760808,3.53373344973069,0.0004097340670913,0.0173939919479727
X2900045O20Rik,5.99842337592043,3.89759378034843,0.83179684852563,3.48353541550975,0.0004948376463708,0.0201650651328588
Cfap70,22.0142185187259,3.7751899659314,0.677231634619119,4.09784455431145,4.17015161430251e-05,0.0028191912257268
Spata9,9.85545628618957,3.61834991250312,0.72993833041916,3.58708373486778,0.000334396963993,0.0147027807984248
Gm5276,14.8438639292323,3.38673241170116,0.480082610830816,4.97150356596078,6.64356422107449e-07,9.71247566844709e-05
Gm49165,15.0649551724019,3.32335946536029,0.527942139181859,4.40078427715726,1.07860316251468e-05,0.0009468765330191
Nxf2,186.860297318015,3.29882009455086,0.414192942150767,5.55011894363494,2.8547530358805e-08,7.50286834407648e-06
Hapln1,8067.14229727968,3.26523606223914,0.265924265150471,8.51835036925788,1.61841959367207e-17,3.78564527155834e-14
Gm4129,29.5884260479999,3.11275862451851,0.406120293195268,5.20229759487213,1.96839688900058e-07,3.86914047316072e-05
Tfrc,21250.4179501444,3.10715280772766,0.433260572170819,4.86347695376465,1.15341460807355e-06,0.0001490581276102
Trac,10.4748839313792,2.99706014769334,0.592097671069544,3.37285594129415,0.0007439286368281,0.0277531654609997
Angptl4,69.1317612387626,2.99630319346299,0.220749130503239,9.04331169464651,1.51995705217424e-19,7.11066308148153e-16
X4930478M13Rik,75.4399809475428,2.97050448736594,0.447508103285536,4.40328224874319,1.06625299652653e-05,0.000944650199803
Nox4,8.36808752076237,2.83968715503995,0.571995412371928,3.21626208051426,0.0012987216988118,0.0426064505706992
Tssk6,245.926175771816,2.79035260663751,0.330908708543003,5.4104124805916,6.28797477239334e-08,1.4279807563209e-05
Edn1,52.8657714967333,2.75199768970627,0.375985207428661,4.65975164738016,3.16591132444942e-06,0.0003474253871472
Gm45397,52.9597287307257,2.74610802125081,0.53132543315551,3.2863249381472,0.0010150384511477,0.0354899318547021
Myl4,42.2501542630788,2.68436155078962,0.310992572413998,5.416082891354,6.09188675733472e-08,1.41084478357244e-05
ENSMUSG00000120319,76.0159040761341,2.59670452771586,0.504509612360904,3.1648644319063,0.00155155224431,0.0484203532282394
Gm6981,29.6350152203297,2.54635734898211,0.430561182734289,3.59149270996037,0.000328789375119,0.0145262861775943
Gm37829,12.4487353418484,2.54121665321585,0.434598399231557,3.54630080538948,0.0003906799764247,0.0167676978505528
Slc18a1,48.0863543073471,2.52399334733552,0.25560629823253,5.96226837082517,2.4876013907881503e-09,9.23610859236916e-07
Nat8l,9240.33123156827,2.50496122755497,0.319403683457188,4.71178419505201,2.45557344604612e-06,0.0002774797994032
Gm12359,112.706339467208,2.43491852499068,0.159506402438866,8.99599328334573,2.34105614345042e-19,9.12660737524147e-16
Gm17092,367.019917270086,2.42490257659438,0.393977775979196,3.61670800606178,0.0002983735624331,0.013504794474373
Fsd2,56.23066930434,2.37879128088827,0.269653713318289,5.1131922639641,3.16759601748398e-07,5.48838803296058e-05
BC049715,114.905449876553,2.34416369862437,0.352342239366483,3.81493771805844,0.000136217284909,0.0073247322099051
Id2,11173.7483833002,2.34397762300333,0.231713951687061,5.80015839882799,6.625230730981661e-09,2.0941996220053e-06
ENSMUSG00000120196,63.4808358955806,2.3400987176549,0.22644764613243,5.91791851468924,3.26041417574857e-09,1.15552042401416e-06
Synpo2l,33.6823509832498,2.29160540966125,0.341777190144067,3.77908604467375,0.0001574050305973,0.0081457103334153
Klhdc7a,86.74292585213,2.27694088949653,0.354096010396734,3.60619959560072,0.0003107141790948,0.01392320950806
H3c8,23.168501788032,2.25125446300237,0.390442492076038,3.20470873021343,0.0013519922082524,0.0438314916060068
Cyp26b1,1450.15080229545,2.24774345963624,0.155055683420353,8.04706691243062,8.48018232029192e-16,1.8032722241268e-12
Atoh8,1049.29726982267,2.22410403430084,0.288174597646028,4.24778604464101,2.15893424281446e-05,0.0016889508653402
Gm56350,258.973268707707,2.21549380039727,0.244081953563177,4.97985935729025,6.36304976016321e-07,9.47909331019888e-05
Cldn22,37.3267165759549,2.21142735485629,0.305680811696303,3.96304677462012,7.39992762308829e-05,0.0044726539284666
Slco1a5,86.4809296599416,2.20583730860721,0.215607209038819,5.59275041861007,2.2350045837798e-08,6.15046967284628e-06
ENSMUSG00000120271,49.1634550054241,2.19422584487969,0.287984806775696,4.14683628018557,3.37100928464659e-05,0.0024336814252212
ENSMUSG00000121092,394.181068080048,2.19128536252689,0.35185496633479,3.38572842934773,0.0007098959870356,0.0267825436012125
Ntm,8642.97226363621,2.18656545074329,0.203722480948042,5.82442077684061,5.73110159936712e-09,1.88811545789854e-06
D830050J10Rik,53.7649426184581,2.16758310640367,0.262637666338868,4.4456041765814,8.76451951102961e-06,0.0008087102389475
Ccn1,8372.84048175702,2.13592568460168,0.337415894987195,3.36654467521391,0.0007611625188521,0.0281670537272978
Gm26616,30.12336329986,2.13356924814653,0.352259033452284,3.21799908731108,0.0012908822862359,0.042588191195127
Gm10353,49.2505789611513,2.07264224469651,0.308031012780789,3.48225405946333,0.0004972117162715,0.0202265726179253
Gm26737,88.3207617800474,2.03618535739049,0.320812881148691,3.2298745414472,0.0012384454972576,0.0411484071397065
X4930507D05Rik,37.6030496438669,2.03182977511411,0.280075639135578,3.68411111476435,0.0002295021172876,0.0110914959204053
X5730414N17Rik,46.0686534043894,2.01527564129654,0.296189971577302,3.427785336181,0.0006085264337299,0.0238027455039762
X9330121J05Rik,60.3560543443903,2.00654254232636,0.262787883290882,3.83024715493524,0.0001280146140565,0.0069314579569393
Tnnt2,941.319532217969,1.96709124543055,0.290762114670018,3.32605658246807,0.0008808404569951,0.0314081389170317
Gm15853,118.511535873474,1.96701417134892,0.284136215486092,3.40334712241655,0.0006656565287114,0.025525199775558
Vcam1,423.137678946975,1.91895140893022,0.28293327078425,3.24794396354666,0.0011624216110516,0.0392922021735683
Il17d,665.392160997776,1.91310833186407,0.242049795371652,3.77239869367395,0.000161685622263,0.0082576165728288
Gm20324,99.9757428672419,1.90453601112624,0.260925851205986,3.46664007014069,0.0005270070695917,0.0212502654059973
Mbp,54627.2086845645,1.90382095578322,0.244865868566439,3.69108590378323,0.0002232987009707,0.0108590019010528
Tmem238,686.190539771951,1.89631105485257,0.207694190930895,4.31553261473162,1.59218540875633e-05,0.0013067652244287
Gm54639,42.3422539679676,1.8610781636596,0.26964904686159,3.19332915759049,0.0014064253133439,0.0451161300088815
X4930513N10Rik,88.4782964004007,1.8357747415388,0.229142119478989,3.64740774607105,0.0002648993753837,0.0123925225792013
Fgfr3,23543.565880649,1.82447574015268,0.258232497276066,3.19276523617113,0.0014091746192523,0.0451161300088815
Gm42928,114.553767897678,1.79604455723873,0.236889379272565,3.36040627774535,0.0007782793145605,0.028580802863206
Rgs16,10125.0502533044,1.72644833634617,0.170779362865813,4.25372436198257,2.10244076977903e-05,0.0016558313820168
B230377A18Rik,139.302427058161,1.7173526048081,0.220363080543606,3.25532118646413,0.0011326419483006,0.0385995803126195
D630003M21Rik,3892.03273981305,1.70123424821151,0.222095570310261,3.15735359886694,0.0015920815919025,0.0494560166217707
Tapbpl,824.48809985266,1.65382017667667,0.097004141980292,6.74012638356723,1.58248920717871e-11,1.41579478009864e-08
Gm42815,123.529380441558,1.6442891792807,0.177365596688233,3.63254876543624,0.0002806355188754,0.0128712655333652
Slc10a3,1191.49186754131,1.64402785355901,0.182741155355144,3.52426278747878,0.0004246628592364,0.0178656275906469
Npdc1,530.305917458448,1.62509200267004,0.146916745408821,4.25473625168198,2.09295572179547e-05,0.0016539299759634
Fhl2,163.031550063752,1.60445380134216,0.170393631491956,3.54739667233804,0.0003890583294215,0.0167287929843721
Zkscan5,3158.45851603,1.38647884615692,0.0668044072150467,5.78522978151469,7.241327692035061e-09,2.22870915847884e-06
Ppargc1a,1648.94347957367,-1.37991985059681,0.114977006376566,-3.30431155384684,0.000952099605012,0.0336492693324438
Rab26,710.653116307871,-1.40690563530335,0.0965233706062529,-4.21561775917706,2.49095367674125e-05,0.0018917499172939
Gng2,760.92274631261,-1.42718604824161,0.106775636107777,-4.00078204929089,6.31334870829327e-05,0.0038964522331316
Akap17b,476.598178383956,-1.43280304280039,0.118372770400087,-3.65627197317052,0.0002559098425423,0.0120929032866826
Prkcz,989.977699376207,-1.48963559901484,0.134094987280511,-3.65140866892051,0.0002608058479293,0.0122254701180669
Map7d2,1948.2659058557,-1.49128462928285,0.122584634130801,-4.00771787399256,6.13082951538613e-05,0.0038343912618822
Fhdc1,564.0865927221,-1.49300259631899,0.149510193013525,-3.29745140703811,0.0009756655556147,0.0343701701978686
Acsf2,2333.20944845515,-1.51844070068471,0.153378179526961,-3.38014639555415,0.0007244723013902,0.0272445845688401
Dnm1,2763.6900337426,-1.51856951468846,0.150627308060916,-3.44273240599074,0.0005758688208524,0.0227713968946212
Stac2,1652.49865485781,-1.52066228181735,0.163109463434778,-3.19210345526976,0.0014124073422831,0.0451161300088815
Prph,11026.9011072382,-1.5608792986119,0.118214032875267,-4.74460844427586,2.08910038142871e-06,0.0002431151593134
Olig2,3873.22605683795,-1.56483684547777,0.153764839777138,-3.6733810297362,0.0002393621471702,0.0114030956913631
Pabpc4l,369.419704972607,-1.56759863687216,0.110102204809349,-5.15519773518613,2.53363427547142e-07,4.65500730015807e-05
Tc2n,194.780411589541,-1.58187709954588,0.182051623213848,-3.19622033175929,0.0013924073864255,0.0447387378789546
Cxxc4,557.36542759674,-1.58985044026094,0.147058771938103,-4.01098440091155,6.04661057349839e-05,0.0038020502130295
Kbtbd11,1037.16967286981,-1.60566747042969,0.191151029072882,-3.16852843203247,0.0015321276247415,0.0479758999602805
Pak1,2768.32388907339,-1.6179920724762,0.144283979474749,-4.28316487198328,1.84253535511724e-05,0.0014861636031568
Hpca,216.741314658423,-1.65122599410286,0.146808340203229,-4.43589235598852,9.16916605421844e-06,0.0008377967311493
