gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ccn4,105.813132604303,5.50421480983053,0.519862433491604,8.6642436915059,4.54520216830841e-18,3.62949543813321e-14
B230209E15Rik,22.8210996387665,4.20958835714072,0.702914672777606,4.56611375667811,4.9684921345169e-06,0.0062644840828677
Angptl4,69.1317612387626,3.07010035576041,0.233268405855236,8.87432804357179,7.03568995345034e-19,8.42734942624282e-15
Sv2c,67.8197976200948,2.98973901427657,0.330546757315613,6.01953874978336,1.74914781359601e-09,4.72900704094681e-06
Gm45589,83.5832412670242,2.97298057411087,0.34825049865904,5.66540631444307,1.46676548252801e-08,3.51378338994411e-05
Cmklr1,53.8753344191762,2.94938763925958,0.385940297764546,5.05100827913249,4.39484019865653e-07,0.0007018852786601
G930009F23Rik,77.7726248442549,2.91067292444136,0.202122315785977,9.45305280622519,3.2908983109527506e-21,7.88367599371841e-17
Traf1,96.2503883254062,2.89707751538066,0.400183463035433,4.7405195132031,2.13170919893877e-06,0.0028370680872098
Tnfaip3,1208.01614598348,2.74719276074752,0.285719721801171,6.11505831565722,9.65216605531335e-10,3.30324700030124e-06
Stmn4,182.250285966947,2.7338265788089,0.340300509894637,5.09498672025419,3.48765701991934e-07,0.0005967879397799
Ppef1,565.744331410723,2.71231595253738,0.284579010451585,6.01701421977745,1.77663480416269e-09,4.72900704094681e-06
Pik3ap1,439.999367565252,2.60547838269339,0.186264640593989,8.61934061974186,6.73407602720575e-18,4.03303813269352e-14
Myom1,105.408871571424,2.55530168750091,0.346313358664539,4.49102423740886,7.08814835772635e-06,0.0081532027718264
Gm40557,41.2138664507552,2.52342309660539,0.378891707349225,4.02073486185129,5.80168746831849e-05,0.0496375803539421
Snx20,228.957076525892,2.24791680721205,0.262871037303747,4.74725865584835,2.06192198662521e-06,0.0028370680872098
Apobr,191.436870197803,2.13593921978361,0.206519410542236,5.50039929322426,3.78932134599897e-08,7.56474851372928e-05
Dleu7,113.104214528491,2.1358639845493,0.275631592056748,4.12094991025356,3.77313460850242e-05,0.037662171950535
Otop1,61.0525504154838,2.10683315374553,0.249782524932604,4.4311873060142,9.37156385905519e-06,0.0102047810821603
Cyp1a1,137.527591430505,2.0836071227769,0.172900283381951,6.26723740170585,3.6750964819052e-10,1.46734352200868e-06
Maff,2643.09132899474,1.95794092086431,0.148832853153018,6.43635394047997,1.22377483039756e-10,5.86334996740078e-07
Rnd1,1219.47177825739,1.62778781570218,0.155128181993083,4.04689726674021,5.19010058108759e-05,0.0460496479705683
Slc1a1,301.31967261738,-1.58223677392867,0.136340650350813,-4.27045618772202,1.95073541034415e-05,0.0203181815174802
Col9a1,4459.65392260179,-1.74673249415158,0.16633760562453,-4.48925840520488,7.14715554384516e-06,0.0081532027718264
Sox11,97.8704865668058,-2.71843574623624,0.356965889883814,-4.81400546924962,1.47934755866105e-06,0.0022149531322052
Rtl3,38.9299877907463,-3.33132749652356,0.568291147108592,-4.10234702473393,4.08980250920561e-05,0.0391901235642118
Pramel16,14.5741983318149,-3.46114628676487,0.60284310263626,-4.08256522468643,4.45413053339461e-05,0.0410396734838466
Tnn,15.4825640407491,-4.89359045447688,0.744373581079764,-5.23069404052325,1.68874811003331e-07,0.0003111973055689
B3galt2,200.589190994305,-5.35051116187808,0.785525509866624,-5.53834484970038,3.05343575718402e-08,6.64982790900913e-05
