gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Morc2b,6.93373380590987,6.46383001032187,1.35998974431088,4.01755236256612,5.88057708722081e-05,0.0227703785586639
Gm47842,10.3792759754527,5.41372620859703,0.829873625896068,5.31855221188798,1.04596206044499e-07,9.49243256168214e-05
Trim17,19.3160765007821,5.14933830541539,0.694310086368392,5.97620340951493,2.2839779204874903e-09,3.90170604640454e-06
Trp63,6.64179922538427,4.86594296638567,0.842451486855218,4.58892058083585,4.45543885796245e-06,0.002441328299511
Ccn4,105.813132604303,4.75001451871426,0.464140498571566,8.07948138603563,6.5042788353726195e-16,3.77781523316112e-12
Cplx1,12.2226919709522,4.63595188459693,0.723488702606072,5.02558211551874,5.01907744276419e-07,0.0003643975700382
Usp13,5.4261850135535,4.60687910243879,0.947479377009664,3.80681541990122,0.0001407677257849,0.0469889140749622
Angptl4,69.1317612387626,4.32236184544678,0.26574846963145,12.5019039622481,7.28844998418182e-36,2.1166387599062403e-31
Gm5276,14.8438639292323,4.29159038879749,0.566755154108652,5.80778201121831,6.330586423709561e-09,9.19232801654747e-06
Madcam1,22.7839252163918,3.94408354241672,0.707039562055715,4.16395870954774,3.12776702226543e-05,0.0135572361333747
Gm10827,584.490594815518,3.87137914662107,0.446263976302283,6.43426155616045,1.24075045180724e-10,3.27569398826672e-07
Mageb7.ps,16.1617987571708,3.86085156581643,0.526356997023627,5.43519243022053,5.47373273429757e-08,5.7811520058355e-05
Tnfaip3,1208.01614598348,3.82858275951916,0.28708843527859,9.85265309197949,6.6758058618335e-23,6.462402601116892e-19
Cfap53,12.1700771700671,3.76564464991069,0.686927167019451,4.02611045638318,5.67070589774317e-05,0.0222544554022107
Cldn18,15.5447813976147,3.61422310140082,0.527911874970872,4.9520066233499,7.34521036881933e-07,0.0005078863198116
Upb1,14.5992549116135,3.57317675972964,0.678216970135514,3.79403181140616,0.000148220671827,0.0489145060287418
Spi1,15.4424772851156,3.54595839241432,0.510347904801669,4.98867217531486,6.07957131332188e-07,0.0004306264158784
Plb1,63.6694931273324,3.51069242622227,0.423727731317892,5.92524925950309,3.11824040932013e-09,5.03093442928144e-06
Gm37829,12.4487353418484,3.4996188715563,0.531457166849348,4.70333081850201,2.55951194048327e-06,0.0014574663973249
Ptk6,22.6476709382813,3.49052083601861,0.525046156207865,4.74343218509844,2.1012730759117e-06,0.0012453688040316
Edn1,52.8657714967333,3.45980480302092,0.393663532837285,6.24849547351302,4.14425232866365e-10,9.25794091359393e-07
Axdnd1,53.6169099694731,3.37906177750162,0.350102872401932,6.79532207542234,1.0807081873898598e-11,3.48720516333211e-08
Mettl7b,22.8695517599476,3.36667344720926,0.442544923787009,5.34787163968986,8.89945422385754e-08,8.33706613274344e-05
Ccl20,16.0535352979681,3.32136453387234,0.460057582601938,5.04581300615339,4.51596918702297e-07,0.0003362775927188
Aloxe3,76.9756913121776,3.29102123632076,0.453182649038385,5.05540369028274,4.29481323734166e-07,0.0003282254505937
Tex52,75.3888530357351,3.25496292600296,0.464427483025366,4.85536065030802,1.20167834733283e-06,0.000758650888802
Toporsl,25.8395043272552,3.19742976673317,0.575520919280922,3.81815793851372,0.0001344518431514,0.0454025113600235
Wincr1,28.1928301980704,3.18220874624835,0.405487759829312,5.38168833300157,7.37904454872958e-08,7.38947699102261e-05
Fbxl13,19.1919295116524,3.16345376749543,0.493441966213566,4.38441380269442,1.16298520402169e-05,0.0057244497135582
G930009F23Rik,77.7726248442549,3.15670705678113,0.199457352731109,10.8128731643632,2.99151024589986e-27,4.34382245255889e-23
Gm1123,25.7950419910129,3.14315334438999,0.467966199479244,4.57971825053799,4.65602711250679e-06,0.0025039941365612
Crhbp,108.290881377499,3.04813610308394,0.332788755632146,6.15446305928643,7.5332279889101e-10,1.45848316017292e-06
Slco1a5,86.4809296599416,3.03982487820298,0.234906642644884,8.68355554034567,3.83585490895944e-18,2.78492656027728e-14
Myom1,105.408871571424,3.03449857770614,0.349074633810145,5.82826244204461,5.600745179721731e-09,8.56059161917361e-06
Tbxa2r,21.9018602958032,2.98555994032189,0.507240071040641,3.91443825849241,9.0614920013118e-05,0.032894348651262
Chrm1,37.5283725878812,2.97453033522457,0.362605375349504,5.44539730918601,5.16898776073796e-08,5.77356052152273e-05
Trpm8,21.7540404688748,2.86538755346285,0.431873241668219,4.31929412032412,1.56529056141725e-05,0.0072154925704949
Dnah5,34.0904819712776,2.79432622932194,0.328644188133313,5.45978384560409,4.76714617645977e-08,5.53770768442273e-05
