gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Asb9,9.11563017325378,6.88992615728212,1.37605074212582,4.28031174793956,1.86631697630955e-05,0.0012870257190707
Olfml1,9.83662763510916,6.80408049008883,1.32980011570863,4.36462624835607,1.27340290097572e-05,0.0009397284889806
Magec2,29.8026071192012,6.65717814999359,1.04569460752298,5.40997162010256,6.30347374602548e-08,8.5137924098685e-06
Fgfbp1,9.68996372104847,6.64894132333152,1.23021494159757,4.59183280280742,4.3937030841325e-06,0.0003798888886303
Clec2i,14.1254462539132,6.61135159395638,1.22397335317234,4.58453738344277,4.54992680906204e-06,0.0003896632500174
Dsp,7.686851377164,6.54662783320518,1.27556704800481,4.34836243369645,1.3715780838673e-05,0.0009907481437454
Gabra3,13.805025092936,6.48501163601834,1.22571914345595,4.47493348317398,7.64351044965193e-06,0.0006253432599417
Cst12,12.7183616274349,6.27172591074662,1.28102030012507,4.11525555858243,3.86750669698955e-05,0.002405441631212
Cd52,7.03362937894024,6.2342567464936,1.35562926934432,3.861126979816,0.0001128652242002,0.0061048853260532
ENSMUSG00000120908,6.29523472255236,6.21154791817795,1.37875620127749,3.77989082721743,0.0001568971380141,0.0079226989997354
Dmrtb1,5.67663313830773,6.12060296865367,1.37586841022016,3.72172435286473,0.0001978669535568,0.00965066470489
Ggt6,4.85319541226382,6.09630978471705,1.31281896209762,3.88195930425485,0.0001036182206903,0.0056689174167192
Sertm1,5.26663547610158,6.07240044591006,1.27497315104376,3.97843706885712,6.93697662872078e-05,0.0040497040544035
Tceal3,4.92147120505377,6.07211384384813,1.28201821339915,3.95635084652963,7.61033673631043e-05,0.0043756560791693
Wnt3,4.34377234947355,6.02207727837316,1.3085933282501,3.83776775408819,0.000124157823252,0.0065724853350747
Hoxc8,10.4570854726203,5.91452707003066,1.40645809891477,3.4942577200293,0.000475381871764,0.019376904651581
Sh2d7,8.98153804520835,5.82732364303853,1.29172653451673,3.73710960799034,0.0001861477910888,0.0092369771291182
Krt7,11.6093647829002,5.81261350695177,1.36562942846059,3.52409914919366,0.0004249252137262,0.0176351689609364
Lypd5,4.52725636150671,5.77443072268782,1.32101488403947,3.61421417757863,0.0003012599526871,0.0133914980699685
Mt4,4.66968300695604,5.74371514000719,1.31500688008973,3.60736906538733,0.0003093175403132,0.0136302744694809
Abcg3,3.67864885372103,5.71351516387045,1.47923083147951,3.18646357523257,0.0014402362188402,0.0477138344430304
Lrrc2,3.596198378621,5.68167828596239,1.37413400718713,3.40700270968901,0.0006568047495138,0.0251126050459023
Glyat,11.1504406616064,5.58513590644152,1.23682410890451,3.70718509885992,0.0002095757670482,0.010113692301573
Mcoln3,3.80441045842866,5.58212626503896,1.35799284260262,3.37419029120744,0.0007403317100597,0.0277444790804352
ENSMUSG00000120034,4.15653994070062,5.58205734528038,1.40434655241259,3.26276825147515,0.0011032970145775,0.0383315946038756
Gm12845,3.51769140176523,5.58198805409414,1.29953807024381,3.52585904100101,0.0004221115739915,0.0175503074461415
Rhox7a,5.03070606605259,5.4372262446052,1.33774674704358,3.31694041074027,0.0009100902495841,0.0326827661676554
Trim55,13.4696268815824,5.40382868475537,1.19485400601147,3.68566256848044,0.000228108417341,0.0108195730903252
Cabp2,17.3606370792166,5.32142725484492,0.937511245034434,4.60946711597704,4.03702377994985e-06,0.0003571670728726
Hsd11b2,4.91363208307999,5.31556087041439,1.31813357840838,3.27399357781732,0.0010603902127024,0.0371804408527597
Mmp10,10.2108175492407,5.30851141264866,1.11001036245357,3.88150557723184,0.0001038117707959,0.0056689174167192
H19,2299.07998972354,5.29397870365642,0.579402920797095,7.41104083104917,1.2531199178891e-13,3.91831715695021e-11
Gm14662,4.94701851567987,5.27696472397979,1.32906544871975,3.21802415983325,0.0012907694500557,0.0435200937473737
Gm49497,16.7888511448868,5.25956146773835,1.22380843324802,3.48057861999967,0.0005003319591952,0.0202134111514861
Rnf224,10.3816854117573,5.25136321759534,1.1476035114339,3.70455751942007,0.0002117600542826,0.0101975421920994
Rd3,78.5162244664412,5.16411220241501,0.696339452853987,5.98000326614866,2.2313314624641403e-09,3.85851302743989e-07
Tcp11x2,10.7195028217353,5.07347802870871,1.12842264972915,3.60988680055869,0.0003063306611677,0.0135247653226602
Prkcb,14.0964097070257,5.0544626322132,0.911591069004773,4.44767700131118,8.68039242509955e-06,0.000700136528252
Smim10l2a,25.7549514397196,5.0334672054782,0.784255910222936,5.14304980415338,2.70313924460115e-07,3.26464848662783e-05
Dmkn,22.2406424885974,5.00994116054798,0.793655992638713,5.05249276480091,4.3608088117631e-07,5.0272637342073e-05
Hnf1b,10.0925649246166,4.85166616050736,1.13448189742347,3.39508825064103,0.0006860648244483,0.0260134812007601
X9130230L23Rik,8.56908299828595,4.85009602357977,1.10531101416692,3.48326939135914,0.000495329659255,0.0200467992946017
Acp7,15.6247049221669,4.82678202416299,0.8947732972326,4.27681741956164,1.89584166030389e-05,0.001299533986129
Grhl3,17.9045177574747,4.77169540903924,0.914312844822588,4.12516944325669,3.70461911571573e-05,0.0023295216511109
Ccdc153,62.0529939316475,4.76291154024747,0.679829285103083,5.5350830314362,3.11080949662072e-08,4.49413528923194e-06
Aire,43.2101392065923,4.74939279628956,0.672963251659637,5.57146736770982,2.52602683194003e-08,3.71994119134601e-06
Zfp575,33.5354967062091,4.65902297715189,0.62699726826071,5.83578774960537,5.3537013667146205e-09,8.42783361356055e-07
Foxn4,130.782166442999,4.59176950517463,0.36612914919244,9.81011622018318,1.01851186848444e-22,7.04501573031087e-20
Gm47708,41.882139439681,4.56053605376912,0.681331033617131,5.22585333426914,1.73353734257191e-07,2.17416062535969e-05
Theg,9.31223333309043,4.51479887402205,0.98988739723172,3.55070575082721,0.0003841996984056,0.0163006362747366
Ereg,11.3507286232116,4.50803799388702,0.900444320038156,3.89589663216307,9.78361112740238e-05,0.0054601639998554
Flt4,26.6270805555938,4.49821052401978,0.558273749216854,6.26612039152309,3.7015419553279e-10,7.61183753804637e-08
Ap3b2,17.8020697741992,4.43256657744022,0.734912197262574,4.67071657025963,3.00150845663252e-06,0.0002729578965382
Aldh3b2,65.5259451091654,4.42388900566646,0.553838680241662,6.18210523716488,6.32523343660992e-10,1.22355744427168e-07
ENSMUSG00000120019,14.4110376624457,4.41761800995731,0.88474869775032,3.862812139365,0.000112089205468,0.0060773116484876
Tm4sf5,9.25706305808201,4.39160689923077,0.994420024554146,3.41063817651039,0.0006481103516475,0.0248217565213207
BC024139,17.4101804789738,4.38097610382794,0.763253244069966,4.42969110199813,9.43681584080408e-06,0.000747933188827
Psca,13.2318555139638,4.37035415007714,0.842911189281689,3.99846886947756,6.37535641436262e-05,0.0037506156060371
Dnah7b,18.8599316186393,4.35777606702884,0.732472205168176,4.58416857777954,4.55796406530587e-06,0.0003896632500174
Ocm,38.1882969607088,4.32987174125311,0.568014260977851,5.86230306175879,4.5649087323315906e-09,7.38997210809936e-07
Slc7a8,9.16105637273714,4.32809103868653,1.03671674352943,3.21022213585197,0.0013263243141717,0.0444348827485984
Ptgis,16.338440073139,4.30702178108306,0.839829664397678,3.93772918637596,8.22563536764134e-05,0.0046590162010367
Eda2r,53.8513516721168,4.2824686012431,0.427297388604968,7.68192993633695,1.56709543707291e-14,5.41977582524641e-12
Gm17767,24.013209898361,4.27872114008116,0.584339471943257,5.61098693055523,2.01175959965431e-08,3.02108056721771e-06
Tns4,50.2473575349254,4.25135914375462,0.439389386716184,7.39972161834391,1.3647028658343e-13,4.20955508318022e-11
Osr1,16.6221277434787,4.23369673428181,0.799085941868296,4.0467446176331,5.19348485996555e-05,0.0031444691091133
Tgm5,10.8343246697532,4.21570610635833,0.832020113977263,3.86493794120728,0.0001111174485066,0.006038968760985
Ush1c,13.9385046787943,4.18949783861058,0.797538342700827,3.99917805557723,6.35628477122741e-05,0.0037490582994324
H2.Eb1,47.0409026001858,4.14850654832266,0.604145415247896,5.21150449686149,1.87315301562599e-07,2.3237277573195e-05
Ceacam2,7.31863321634255,4.13571864752802,0.972067239717469,3.22582483948273,0.0012561020476214,0.042602949983666
Gsdmc2,12.5279415322336,4.12786722101043,0.822957569236638,3.80076365773243,0.0001442508391847,0.0074159226469162
Calcoco2,7.94238909731125,4.11921153219368,0.940435898576031,3.31677208081556,0.0009106387138626,0.0326827661676554
Slc4a1,23.5192418762657,4.11407537612409,0.547703119784597,5.68569953983246,1.30278269343287e-08,1.98248785068659e-06
Angpt4,15.3352621009627,4.10744328998497,0.727080275984243,4.27386547624119,1.92112970756778e-05,0.0013129253504473
Gm5622,41.6538725169673,4.10409782788085,0.536037022083352,5.79082731229369,7.0040561450637905e-09,1.08758221474304e-06
Srrm4,114.942791879565,4.10318403965499,0.346543853448086,8.95466478132141,3.40769445668643e-19,1.99446240175191e-16
Prr29,24.6808163927779,4.0910716317891,0.717202803804437,4.30989897891135,1.63329139006816e-05,0.0011532714074147
Nos2,10.2019213355955,4.07341771134758,0.836358240356567,3.67476227655422,0.0002380709752822,0.0112277026483335
Gm12866,16.2793675465391,4.06124808408345,0.694680998494842,4.40669615365359,1.04959259247357e-05,0.0008039597488524
Gm43970,9.69501059625549,4.0253809243581,0.812438497568854,3.7238276293052,0.0001962249255042,0.0096210317621246
Slc34a3,91.3630432523525,3.99384928084011,0.554598976715413,5.39822359314662,6.730395783834e-08,9.03694200951735e-06
Gm14377,9.02506066670838,3.98722167229284,0.926935591883711,3.22268526362467,0.0012699501080319,0.0430087257654843
Esm1,14.5097375945009,3.9842861676258,0.717725070865133,4.15797955062179,3.21074757470906e-05,0.002051776709806
Gm12315,10.6562015369744,3.98186547219001,0.775883865410676,3.84318530790907,0.0001214476972289,0.0064619233961471
Cdh16,10.341171189533,3.95855939041302,0.814916403540895,3.63050661093307,0.0002828654590303,0.0128108868409255
