gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
X9130230L23Rik,8.56908299828595,7.57366472358081,1.25025928415457,5.25784115894483,1.45756328081382e-07,2.46489029026452e-05
Cd22,5.7804371713023,7.03597251288654,1.48982725890885,4.05145796386307,5.08994715562555e-05,0.0032400835681916
Chrne,5.36790783437976,7.02409777659994,1.33506632562628,4.512208615384,6.41560391355099e-06,0.0005909743450754
Iqcf1,21.3363554239643,6.9923003367812,1.13144327696019,5.29615620933337,1.18265678290546e-07,2.08632568155574e-05
Pvalb,10.122143414975,6.93240337399154,1.4844932738174,3.99624806566908,6.43542992788172e-05,0.0038628164679256
Tmsb15a,5.59246573329256,6.9305677461708,1.25707496271268,4.71775186212685,2.38465092694186e-06,0.0002509614823156
Podnl1,9.91028905317773,6.78931898168866,1.36471631352588,4.24214096681485,2.21397550428506e-05,0.0016302970973145
Srgn,9.1066390744306,6.58593654653911,1.29741626009222,4.30543127780906,1.66660724026878e-05,0.0012775246416445
Helt,3.58285373671763,6.55030306550988,1.44649069889521,3.83708175223599,0.0001245050333808,0.0067543980609121
Chrnd,38.6171098417519,6.44346294951085,1.04923356273685,5.18803738541488,2.1252194493462e-07,3.31926790556804e-05
Gm9899,4.11282172041522,6.43891540472985,1.34400629613224,4.04679309939386,5.19240977747056e-05,0.0032646943629065
Foxs1,4.13335029217508,6.3849992593063,1.31403518525482,4.09806321758579,4.16621508744788e-05,0.0027462301118094
Cd4,2.80871373625576,6.31759818558399,1.46135311532988,3.63881811302233,0.0002738921529432,0.0128661101193885
Scube1,3.56255136397751,6.28248010536341,1.4671120432477,3.60059760239561,0.0003174866183757,0.0145788190434299
Etv3l,4.48923926471872,6.27728202328489,1.53815517081489,3.43091654432308,0.0006015456352583,0.0243407599375753
Ctse,2.9419619997938,6.20259034368164,1.52334540539835,3.41524011904652,0.0006372580736248,0.0254111245045712
Ccm2l,2.77761106655339,6.16759104656843,1.53881608362601,3.35816027760233,0.000784631030088,0.0303469045564514
Gm12408,3.608115310734,6.11741936092057,1.59508993049398,3.20823250343996,0.0013355348255197,0.0467837849379565
F7,3.2096060293484,6.09702264448913,1.43043123270031,3.56327695310959,0.0003662539078531,0.0163885256833358
Crxos,3.16285247085773,6.03469701838968,1.46127554740975,3.44541248727126,0.0005701885620764,0.0232638830793301
