samples,condition
p22303.s001_GL261.luc2.a_S1,A
p22303.s002_GL261.luc2.b_S2,A
p22303.s003_GL261.luc2.c_S3,A
p22303.s004_GL261.luc2.BHB2.a_S4,B
p22303.s005_GL261.luc2.BHB2.b_S5,B
p22303.s006_GL261.luc2.BHB2.c_S6,B
p22303.s007_GL261.luc2.BHB2.no.BHB.a_S7,H
p22303.s008_GL261.luc2.BHB2.no.BHB.b_S8,H
p22303.s009_GL261.luc2.BHB2.no.BHB.c_S9,H
p22303.s010_GL261.luc2.BHB2.4day.a_S10,E
p22303.s011_GL261.luc2.BHB2.4day.b_S11,E
p22303.s012_GL261.luc2.BHB2.4day.c_S12,E
p22303.s013_GL261.luc2.BHB5.a_S13,C
p22303.s014_GL261.luc2.BHB5.b_S14,C
p22303.s015_GL261.luc2.BHB5.c_S15,C
p22303.s016_GL261.luc2.BHB5.no.BHB.a_S16,I
p22303.s017_GL261.luc2.BHB5.no.BHB.b_S17,I
p22303.s018_GL261.luc2.BHB5.no.BHB.d_S18,I
p22303.s019_GL261.luc2.BHB5.4day.a_S19,F
p22303.s020_GL261.luc2.BHB5.4day.b_S20,F
p22303.s021_GL261.luc2.BHB5.4day.c_S21,F
p22303.s022_GL261.luc2.BHB10.a_S22,D
p22303.s023_GL261.luc2.BHB10.c_S23,D
p22303.s024_GL261.luc2.BHB10.d_S24,D
p22303.s025_GL261.luc2.BHB10.no.BHB.a_S25,J
p22303.s026_GL261.luc2.BHB10.no.BHB.b_S26,J
p22303.s027_GL261.luc2.BHB10.no.BHB.c_S27,J
p22303.s028_GL261.luc2.BHB10.4day.a_S28,G
p22303.s029_GL261.luc2.BHB10.4day.b_S29,G
p22303.s030_GL261.luc2.BHB10.4day.c_S30,G
